Date,Is Self Serve Campaign,Campaign ID,Campaign Name,Type of Promotion,Campaign Start Date,Campaign End Date,Store ID,Store Name,Currency,Orders,Sales,Customer Discounts from Marketing | (Funded by you),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Average Order Value,ROAS,New Customers Acquired,Existing Customers Acquired,Total Customers Acquired,New DP Customers Acquired,Existing DP Customers Acquired,Total DP Customers Acquired
2025-06-04,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,677517,McDonald's (1013-NORTH POMPANO),USD,1,24.48,6.99,0.00,0.00,0.00,0.00,0.00,24.48,3.50,0,1,1,0,1,1
2025-06-05,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,4,90.30,24.76,0.00,0.00,0.00,0.00,0.00,22.58,3.65,0,3,3,0,2,2
2025-06-05,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,1,20.45,4.69,0.00,0.00,0.00,0.00,0.00,20.45,4.36,0,1,1,0,1,1
2025-06-05,false,4eba9762-786f-4fc4-aede-412b8bdcb990,mcd-freebm15-060125-063025-newcx-lapsed-1-v2,Custom campaign,2025-06-01,2025-07-01,677517,McDonald's (1013-NORTH POMPANO),USD,1,19.38,6.99,0.00,0.00,0.00,0.00,0.00,19.38,2.77,0,1,1,0,1,1
2025-06-06,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,4,144.27,18.76,0.00,0.00,0.00,0.00,0.00,36.07,7.69,0,4,4,0,1,1
2025-06-07,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,1,24.76,6.19,0.00,0.00,0.00,0.00,0.00,24.76,4.00,1,0,1,0,0,0
2025-06-07,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,3,83.05,14.07,0.00,0.00,0.00,0.00,0.00,27.68,5.90,0,3,3,0,1,1
2025-06-09,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,2,43.51,9.38,0.00,0.00,0.00,0.00,0.00,21.76,4.64,0,1,2,0,1,2
2025-06-10,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,1,49.39,6.19,0.00,0.00,0.00,0.00,0.00,49.39,7.98,0,1,1,0,0,0
2025-06-11,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,1,20.16,5.99,0.00,0.00,0.00,0.00,0.00,20.16,3.37,0,1,1,0,1,1
2025-06-11,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,1,15.86,4.69,0.00,0.00,0.00,0.00,0.00,15.86,3.38,0,1,1,0,1,1
2025-06-12,false,2d098b94-d85b-4a8e-b16b-9f61449e9b25,mcd-bfastsammy-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,2,44.03,12.18,0.00,0.00,0.00,0.00,0.00,22.02,3.61,0,2,2,0,1,1
2025-06-12,false,64037fd1-de6c-4ed7-9f08-3b0e5eac5333,mcd-freelfry15-060525-061525-allcx,Custom campaign,2025-06-05,2025-06-16,677517,McDonald's (1013-NORTH POMPANO),USD,2,45.25,9.38,0.00,0.00,0.00,0.00,0.00,22.63,4.82,0,2,2,0,2,2
