Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (1013-NORTH POMPANO),677517,5579,1013,2,2,0,0.00,0.00,0,0.00,0,0.00,0.00,6.87,14.41,26.50,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,1,1,1,100.00,5.30,0,0.00,0,0.00,0.00,3.10,3.65,12.00,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,3,3,0,0.00,0.00,0,0.00,0,0.00,0.00,12.68,13.17,33.00,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,0.00,0,0,0,NULL
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (2011-CORAL RIDGE),680386,5579,2011,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,8.25,8.70,22.00,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,15,15,0,0.00,0.00,0,0.00,0,0.00,0.00,4.68,6.28,27.07,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,4,4,0,0.00,0.00,0,0.00,0,0.00,0.00,4.90,5.58,27.25,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (681-COMMERCIAL),684427,5579,681,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,0.00,0,0,0,NULL
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (6712-EXECUTIVE),684429,5579,6712,1,0,0,0.00,0.00,1,100.00,1,100.00,0.00,0.00,0.00,0.00,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,5,4,0,0.00,0.00,1,20.00,0,0.00,20.00,11.86,12.61,27.67,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,5,5,0,0.00,0.00,0,0.00,0,0.00,0.00,9.55,10.73,25.00,97.92,2.08,30,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,0.00,0,0,0,NULL
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (5990-SOUTHGATE),684457,5579,5990,3,3,0,0.00,0.00,0,0.00,0,0.00,0.00,4.72,5.22,19.00,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (2565-5TH AVENUE),684468,5579,2565,5,5,1,20.00,12.53,0,0.00,0,0.00,0.00,4.04,4.88,19.20,100.0,0.0,0,0.00,0,0,0,USD
Week of 2025-08-11,2025-08-11,2025-08-17,McDonald's (3555-TAMARAC),684472,5579,3555,5,5,1,20.00,11.36,0,0.00,0,0.00,60.00,8.16,9.34,20.50,100.0,0.0,0,0.00,0,0,0,USD
