Store ID,Store Name,Business ID,Merchant Store ID,Payout Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Alcohol Flat Fee,Alcohol Flat Fee Tax,Bag Fee,Bag Fee Tax,Cup Fee,Cup Fee Tax,Snap Ebt Discount,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Net Payout,Transactions Start Local Date,Transactions End Local Date,Transactions Start UTC Date,Transactions End UTC Date,Payout ID,Payout Status,Tax Remitted by DoorDash to State,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Subscription Fee,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
677517,McDonald's (1013-NORTH POMPANO),5579,1013,2025-08-04,USD,2210.78,0.00,249.06,0.00,0.00,327.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.30,32.78,1602.34,1635.12,2025-07-28,2025-08-03,2025-07-28,2025-08-04,503844170,PAID,134.83,0.00,0.00,0.00,0.00,0.00,0.00,-282.34,-5.83,0.00,-65.74,26.03,0.00,12.58
680307,McDonald's (10397-SUNRISE/PINE ISLAND),5579,10397,2025-08-04,USD,3040.85,0.00,339.57,0.00,0.00,533.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.10,28.92,2118.15,2147.07,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503853342,PAID,179.36,0.00,0.00,0.00,0.00,0.00,0.00,-457.24,-19.98,0.00,-89.79,33.54,0.00,15.36
680368,McDonald's (2533-LAUDERDALE LAKES),5579,2533,2025-08-04,USD,5556.40,0.00,693.88,0.00,0.00,794.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.31,76.21,3959.37,4035.58,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503847979,PAID,337.36,0.00,0.00,0.00,0.00,0.00,0.00,-697.32,-41.08,0.00,-140.52,84.56,0.00,32.73
680384,McDonald's (13565-GALT OCEAN MILE),5579,13565,2025-08-04,USD,779.17,0.00,101.87,0.00,0.00,61.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.79,5.56,608.99,614.55,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503847152,PAID,50.78,0.00,0.00,0.00,0.00,0.00,0.00,-51.62,-2.10,-16.19,-9.90,2.10,16.19,5.56
680386,McDonald's (2011-CORAL RIDGE),5579,2011,2025-08-04,USD,3078.14,0.00,351.89,0.00,0.00,452.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.61,63.41,2188.87,2252.28,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503853622,PAID,188.14,0.00,0.00,0.00,0.00,0.00,0.00,-386.67,-5.09,0.00,-114.10,53.85,0.00,14.65
680392,McDonald's (22008-OAKLAND & 55TH),5579,22008,2025-08-04,USD,10803.26,0.00,1374.48,0.00,0.00,2001.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.95,116.81,7216.69,7333.50,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503844361,PAID,630.12,0.00,0.00,0.00,0.00,0.00,0.00,-1727.15,-73.32,-6.11,-331.99,131.08,6.11,59.05
680394,McDonald's (17009-OAKLAND & HIATUS),5579,17009,2025-08-04,USD,3722.98,0.00,462.63,0.00,0.00,526.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.52,66.30,2592.57,2658.87,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503850768,PAID,225.17,0.00,0.00,0.00,0.00,0.00,0.00,-456.75,-52.19,0.00,-115.51,98.40,0.00,20.09
684427,McDonald's (681-COMMERCIAL),5579,681,2025-08-04,USD,2551.41,0.00,282.82,0.00,0.00,379.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.33,58.98,1837.42,1896.40,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503847057,PAID,152.31,0.00,0.00,0.00,0.00,0.00,0.00,-336.92,-38.68,0.00,-83.92,80.03,0.00,17.63
684429,McDonald's (6712-EXECUTIVE),5579,6712,2025-08-04,USD,2657.69,0.00,298.78,0.00,0.00,466.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.17,35.76,1862.98,1898.74,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503839662,PAID,156.78,0.00,0.00,0.00,0.00,0.00,0.00,-403.38,-17.67,0.00,-85.38,39.69,0.00,13.74
684443,McDonald's (7732-OAKLAND FOREST),5579,7732,2025-08-04,USD,6785.81,0.00,764.31,0.00,0.00,1179.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.70,102.03,4718.10,4820.13,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503853085,PAID,399.33,0.00,0.00,0.00,0.00,0.00,0.00,-1020.92,-62.57,-8.92,-224.78,128.95,8.92,35.65
684444,McDonald's (7158-I-95 & SUNRISE),5579,7158,2025-08-04,USD,6783.05,0.00,803.24,0.00,0.00,1352.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.15,105.52,4490.31,4595.83,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503842192,PAID,390.96,0.00,0.00,0.00,0.00,0.00,0.00,-1173.73,-23.30,0.00,-256.62,101.32,0.00,27.50
684455,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",5579,27555,2025-08-04,USD,2464.85,0.00,273.94,0.00,0.00,446.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.82,54.79,1651.95,1706.74,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503844810,PAID,144.64,0.00,0.00,0.00,0.00,0.00,0.00,-391.39,-5.00,0.00,-98.75,48.31,0.00,11.48
684457,McDonald's (5990-SOUTHGATE),5579,5990,2025-08-04,USD,4947.12,0.00,548.20,0.00,0.00,922.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.41,71.95,3363.43,3435.38,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503848482,PAID,289.10,0.00,0.00,0.00,0.00,0.00,0.00,-803.08,-15.51,0.00,-169.00,64.72,0.00,22.74
684468,McDonald's (2565-5TH AVENUE),5579,2565,2025-08-04,USD,3532.44,0.00,412.13,0.00,0.00,521.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.92,56.10,2496.18,2552.28,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503849449,PAID,214.33,0.00,0.00,0.00,0.00,0.00,0.00,-462.41,-5.19,0.00,-94.80,40.59,0.00,20.70
684472,McDonald's (3555-TAMARAC),5579,3555,2025-08-04,USD,4861.85,0.00,609.94,0.00,0.00,684.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.52,74.02,3420.97,3494.99,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503839433,PAID,296.09,0.00,0.00,0.00,0.00,0.00,0.00,-601.83,-36.02,-31.68,-131.59,85.44,31.68,24.60
684476,McDonald's (12885-MCNAB & ROCK ISLAND),5579,12885,2025-08-04,USD,8712.97,0.00,1146.47,0.00,0.00,1330.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.57,114.61,5904.44,6019.05,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503848387,PAID,522.38,0.00,0.00,0.00,0.00,0.00,0.00,-1162.69,-86.32,-12.21,-237.80,156.04,12.21,44.89
684491,McDonald's (10671-LAKEWOOD),5579,10671,2025-08-04,USD,4462.35,0.00,498.32,0.00,0.00,795.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.03,72.83,3088.68,3161.51,2025-07-28,2025-08-03,2025-07-28,2025-08-04,503852818,PAID,262.06,0.00,0.00,0.00,0.00,0.00,0.00,-695.34,-24.31,0.00,-140.98,65.30,0.00,31.84
684546,McDonald's (32379-MIRABELLA),5579,32379,2025-08-04,USD,8636.36,0.00,994.54,0.00,0.00,1228.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.11,108.07,6259.21,6367.28,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503841472,PAID,524.51,0.00,0.00,0.00,0.00,0.00,0.00,-1087.86,-62.43,-12.16,-199.64,121.49,12.16,49.01
684559,McDonald's (16832-BROWARD & 1ST),5579,16832,2025-08-04,USD,6968.03,0.00,928.47,0.00,0.00,991.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.46,119.29,4849.48,4968.77,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503849292,PAID,421.93,0.00,0.00,0.00,0.00,0.00,0.00,-862.72,-54.57,-6.09,-208.90,134.77,6.09,39.09
684904,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",5579,29261,2025-08-04,USD,4041.45,0.00,456.72,0.00,0.00,604.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.94,68.42,2856.25,2924.67,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503842712,PAID,243.68,0.00,0.00,0.00,0.00,0.00,0.00,-513.85,-45.14,0.00,-142.69,96.75,0.00,16.81
684906,McDonald's (24106-PALM AIRE),5579,24106,2025-08-04,USD,4004.86,0.00,459.82,0.00,0.00,619.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.40,64.78,2812.09,2876.87,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503852360,PAID,242.01,0.00,0.00,0.00,0.00,0.00,0.00,-537.24,-10.00,-15.05,-129.31,57.14,15.05,17.64
684917,McDonald's (24636-COPANS RD. & I - 95),5579,24636,2025-08-04,USD,4358.07,0.00,526.43,0.00,0.00,740.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.38,90.47,2981.69,3072.16,2025-07-28,2025-08-04,2025-07-28,2025-08-04,503848386,PAID,257.71,0.00,0.00,0.00,0.00,0.00,0.00,-660.32,-17.09,0.00,-151.25,88.15,0.00,19.41
