Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Bag Fee,Marketplace Fee,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Capital payments,Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,128,0,2826.73,254.35,3081.08,-48.39,-4.36,-52.75,0,0,0,-313.99,-28.1,0,0,0,0,-380.45,0,0,0,0,2767.09,0,0,-221.89,0,2083.9,6/2/25,48GDOBA96WLJ4ZM
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,126,0,2694.3,242.46,2936.76,-37.53,-3.38,-40.91,0,0,0,-241.37,-21.54,0,0,0,0,-370.13,0,0,0,0,2695.39,0,0,-217.54,0,2045.27,6/9/25,FMVI63OKSOPRIUM
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,110,2,2737.86,246.37,2984.23,11.1,-1.07,10.03,0,0,0,-282.87,-25.37,0,0,0,0,-369.14,0,0,0,0,2701.36,0,18.32,-219.93,0,2115.27,6/16/25,F18J3ZDVMVMW12Y
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,105,0,2331.91,209.89,2541.8,-7.49,-1.75,-9.24,0,0,0,-220.83,-19.76,0,0,0,0,-320.33,0,0,0,0,2320.97,0,0,-188.38,0,1783.26,6/23/25,5DITKSU4B15445V
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,120,1,2627.42,236.44,2863.86,-5.49,-0.49,-5.98,0,0,0,-261.15,-23.42,0,0,0,0,-363.58,0,0,0,0,2602.71,0,0,-212.53,0,2011.27,6/30/25,SI7CFKUBSN31M7F
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,125,3,2889.51,260.11,3149.62,-18.94,-1.71,-20.65,0,0,0,-243.75,-21.83,0,0,0,0,-403.22,0,0,0,0,2905.87,0,-18.12,-236.57,0,2294.67,7/7/25,BF12EZSIS5BR71S
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,119,1,2775.65,250.02,3025.67,-19.16,-1.73,-20.89,0,0,0,-281.18,-25.3,0,0,0,0,-377.76,0,0,0,0,2744.49,0,0,-222.99,0,2104.92,7/14/25,9CM9O7ATNYFDJDO
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,150,2,3365.62,303.16,3668.78,-18.76,-3.11,-21.87,0,0,0,-534.16,-47.98,0,0,0,0,-425.76,0,0,0,0,3134.62,0,-55.72,-252.07,0,2331.22,7/21/25,NW6H6EGTYK5ZKZU
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,147,1,3321.99,299.15,3621.14,-25.43,-3.84,-29.27,0,0,0,-558.42,-50.04,0,0,0,0,-418.78,0,0,0,0,3062.72,0,0,-245.27,0,2326.08,7/28/25,BJA8XTN18USL65P
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,122,0,2846.7,256.38,3103.08,-20.93,-1.89,-22.82,0,0,0,-336.59,-30.24,0,0,0,0,-377.77,0,0,0,0,2766.49,0,0,-224.25,0,2111.41,8/4/25,OMEFMWVV3I6E0JL
McDonald's® (Brook Forest & Center),febe4f33-7c1a-482c-b607-4c3c8d3b7918,32786,96,0,2245.26,202.29,2447.55,0,-0.6,-0.6,0,0,0,-208.62,-18.77,0,0,0,0,-309.16,0,0,0,0,2238.93,0,0,-182.92,0,1727.48,8/11/25,MYBA5S9WMZ1QRFK
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,175,0,3681.56,349.76,4031.32,-18.38,-1.75,-20.13,0,0,0,-431.09,-40.89,0,0,0,0,-499.16,0,0,0,0,3600.23,0,0,-242.42,0,2797.63,6/2/25,LXO0P88I7FR413B
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,183,0,3662.47,348.03,4010.5,-22.86,-2.17,-25.03,0,0,0,-336.35,-31.89,0,0,0,0,-505.2,0,0,0,0,3674.15,0,0,-247.82,0,2864.21,6/9/25,72SG53V1SA2Q09O
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,145,0,3074.98,292.1,3367.08,7.89,-0.21,7.68,0,0,0,-407.93,-38.63,0,0,0,0,-409.13,0,0,0,0,2959.15,0,0,-199.72,0,2319.35,6/16/25,97XK16O86LNZ8X1
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,177,0,3638.77,345.82,3984.59,-10.48,-1,-11.48,0,0,0,-396.13,-37.61,0,0,0,0,-494.29,0,0,0,0,3588.46,0,0,-242.53,0,2802.56,6/23/25,ZFIVMOLQAAL60GZ
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,174,1,3456.6,328.47,3785.07,-27.62,-4.89,-32.51,0,0,0,-388.4,-36.84,0,0,0,0,-468.96,0,0,0,0,3396.67,0,0,-225.9,0,2653.9,6/30/25,3JEXIIR5HFH5ESK
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,165,2,3325.09,330.98,3656.07,-25.44,-2.46,-27.9,0,0,0,-241.33,-24.02,0,0,0,0,-468.89,0,0,0,0,3414.74,0,0,-243.36,0,2771.6,7/7/25,EYUG6N78WQYH7WU
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,190,1,4002.56,400.23,4402.79,-20.27,-2.03,-22.3,0,0,0,-297.13,-29.73,0,0,0,0,-567.82,0,0,0,0,4105.66,0,0,-294.75,0,3211.16,7/14/25,GBTHKXZGM0W71EP
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,206,0,4243.57,424.14,4667.71,-45.9,-6.02,-51.92,0,0,0,-590.42,-58.72,0,0,0,0,-562.16,0,0,0,0,4077.29,0,0,-287.34,0,3117.15,7/21/25,8EVJS1WO9NQSTBV
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,195,1,4236.57,423.51,4660.08,5.2,-0.84,4.36,0,0,0,-740.13,-73.78,0,0,0,0,-535.94,0,0,0,0,3919.95,0,0,-278.95,0,3040.44,7/28/25,7JRT9T9GKBFKNSI
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,154,0,3371.27,336.87,3708.14,-3.79,-0.38,-4.17,0,0,0,-436.51,-43.39,0,0,0,0,-453.51,0,0,0,0,3271.63,0,0,-234.52,0,2536.04,8/4/25,YXBEZ226NL44YUN
McDonald's® (63rd St & Cass),4e4baace-4451-40fe-a4f4-bf75070b23fa,6606,122,0,2674.29,267.47,2941.76,-6.59,-0.66,-7.25,0,0,0,-296.65,-29.68,0,0,0,0,-364.36,0,0,0,0,2645.11,0,0,-189.77,0,2054.05,8/11/25,CDOD6JBPGV92PNX
